归路	1494535979
来过	1487466013
我的祖国	1483514670
缘起诛仙	1477857419
未定的注定	1464489893
晨昏	1461367722
飞翔吧！少年	1457757260
字里行间	1455663902
倒带	1451463691
等雨	1448212768
将进酒	1449553804
花期	1448210862
候鸟	1446520332
轻净的你	1442536039
我们的生活充满阳光	1442269213
愿歌行	1438776533
心光	1420468029
恭喜发财财	1417453028
锦绣令	1416502455
烦恼别找我	1416502456
无忘	1416502457
锦绣令	1413312409
欢乐时光	1411513918
七子新歌	1410707700
聚散流沙	1409087713
逃禅	1408561099
落叶	1403719584
悠然见南山	1399796293
水墨	1399109758
翱翔天地	1393382868
与你	1383151126
如果当时	1379835060
青春大满贯	1365861394
藏不住的心跳	1363548248
Never let you go	1363548250
春光如此却不得你	1363548251
我只喜欢你	1363537947
最相爱的朋友	1363537952
站你这边	1363548272
冉冉	1363548273
亲爱的你	1363548274
两万赫兹的距离	1363537953
我只喜欢你	1363319755
我从哪里来	1365695604
寻人启事	1342505704
最苦的甜	1341185539
凹凸	1340001871
只问你肯不肯	1336789934
知否知否	1334818132
悠悠岁月	1330933025
炸弹诗	1329076748
韩信	1323509415
昙花	1321442180
双栖动物	1313113978
偕老	1300885485
红墙叹	1298432122
爱情进化论	1297532516
知道不知道	1293953024
十万灰尘	574921117
直觉	573168817
同类	566435464
阅读爱情	554241695
羞答答的玫瑰静悄悄地开	541499326
念	530986733
青春不停跑	504025766
青春遗言	502455405
你好灰姑娘	451991285
等一生	438803033
蜀山剑道	36025712
爱你步步惊心	33391169
裸夏	33166332
美好的昨天	31477213
替我照顾她	31168732
爱情生态	31477211
另一个噪音	31477214
幸福在这里	31477218
好人	31477210
你在哪里	31477215
后来者	31477212
脱离现实	31477217
普罗米修诗	31477216
爱情生态	1364569380
放心去飞	31152396
刀塔传奇	29719848
无情	28936550
同桌的你	28387594
放下	27949558
静电	26550474
改变	26550470
傻瓜探戈	26484238
我们会不会	26550473
微笑的人	26550471
学着走	26550469
离家以后	26550472
爱情离我一公尺	26550468
黑框眼镜	26550476
一定有个你	26550475
改变	26375068
学着走	26375066
离家以后	26375067
伤心童话 电影版	25638232
燃点	101358
伤心童话	101361
勉强	101363
准备好要爱	101368
我的错	101372
让我爱你	101375
当初	101378
小宝贝	101381
当你听我说	101384
是我先开口	101385
那些年	101387
梦想	101390
爱 都是对的	101392
幻听	101394
逆向	101395
弹弹琴恋恋爱	101396
爱夏	101397
OH.爱	101398
数到三不哭	101399
拍拖	101400
沉淀	101403
等待完整	101404
